Designator,Mid X,Mid Y,Rotation,Layer
D1,29.7275,-56.9725,90.0,bottom
D10,201.1775,-56.9725,90.0,bottom
D11,220.2275,-56.9725,90.0,bottom
D12,239.2775,-56.9725,90.0,bottom
D13,258.3275,-56.9725,90.0,bottom
D14,293.5775,-56.9725,90.0,bottom
D15,39.2575,-76.0325,90.0,bottom
D16,58.3075,-76.0225,90.0,bottom
D17,77.3575,-76.0225,90.0,bottom
D18,96.4075,-76.0225,90.0,bottom
D19,115.4575,-76.0225,90.0,bottom
D2,48.7775,-56.9725,90.0,bottom
D20,134.5075,-76.0225,90.0,bottom
D21,153.5575,-76.0225,90.0,bottom
D22,172.6075,-76.0225,90.0,bottom
D23,191.6575,-76.0225,90.0,bottom
D24,210.7075,-76.0225,90.0,bottom
D25,229.7575,-76.0225,90.0,bottom
D26,248.8075,-76.0225,90.0,bottom
D27,267.8575,-76.0225,90.0,bottom
D28,291.67,-76.0225,90.0,bottom
D29,36.87375,-95.0825,90.0,bottom
D3,67.8275,-56.9725,90.0,bottom
D30,63.0675,-95.0825,90.0,bottom
D31,82.1175,-95.0825,90.0,bottom
D32,101.1675,-95.0825,90.0,bottom
D33,120.2175,-95.0825,90.0,bottom
D34,139.2675,-95.0825,90.0,bottom
D35,158.3175,-95.0825,90.0,bottom
D36,177.3675,-95.0825,90.0,bottom
D37,196.4175,-95.0825,90.0,bottom
D38,215.4675,-95.0825,90.0,bottom
D39,234.5175,-95.0825,90.0,bottom
D4,86.8775,-56.9725,90.0,bottom
D40,253.5675,-95.0825,90.0,bottom
D41,291.19875,-95.0825,90.0,bottom
D42,48.63125,-114.1875,90.0,bottom
D43,72.5875,-114.1325,90.0,bottom
D44,91.6375,-114.1325,90.0,bottom
D45,110.6875,-114.1325,90.0,bottom
D46,129.7375,-114.1325,90.0,bottom
D47,148.7875,-114.1025,90.0,bottom
D48,167.8375,-114.1025,90.0,bottom
D49,186.8875,-114.1025,90.0,bottom
D5,105.9275,-56.9725,90.0,bottom
D50,205.9375,-114.1025,90.0,bottom
D51,224.9875,-114.1025,90.0,bottom
D52,244.0375,-114.1025,90.0,bottom
D53,287.5445,-114.0135,90.0,bottom
D54,34.4975,-133.1225,90.0,bottom
D55,58.31,-133.1225,90.0,bottom
D56,82.1225,-133.1225,90.0,bottom
D57,153.56,-133.1225,90.0,bottom
D58,224.9975,-133.1225,90.0,bottom
D59,248.81,-133.1225,90.0,bottom
D6,124.9775,-56.9725,90.0,bottom
D60,272.6225,-133.1225,90.0,bottom
D61,294.435,-133.1225,90.0,bottom
D62,99.555,-122.3225,180.0,top
D7,144.0275,-56.9725,90.0,bottom
